age,income,loan_amount,credit_score,employment_length,delinquencies,default
24,108956,4495,562,11,0,0
42,63550,13275,615,16,0,1
35,60449,21710,721,9,2,1
18,34412,1000,635,13,3,1
18,82211,12124,606,2,0,1
34,49957,10893,606,8,4,1
32,47059,27648,694,15,3,1
33,85624,18454,772,8,3,1
34,83164,5582,500,17,0,1
37,82641,11229,846,8,2,1
44,52756,27448,664,16,4,1
23,58980,20714,690,12,1,1
23,58802,7654,619,18,2,1
24,75650,12863,649,10,2,1
37,91071,13119,663,9,3,1
47,67362,10696,576,7,4,1
30,99497,1318,593,13,0,1
18,77943,9579,732,19,0,0
18,55304,26113,541,3,0,1
26,76574,11950,680,18,1,1
29,94118,14173,624,19,1,0
30,99965,16124,582,15,4,1
35,83737,32745,788,11,2,1
31,60513,15070,583,17,3,1
45,55666,23751,570,5,2,1
28,71521,10214,636,12,4,1
26,93479,12924,596,16,1,0
39,68675,15100,650,16,3,0
19,69090,8806,660,11,1,0
38,61027,13370,666,7,1,0
36,53442,22104,641,18,4,1
33,56757,8597,600,13,0,1
50,62708,15000,695,15,1,1
28,94361,20669,642,12,1,1
55,55205,8404,615,17,0,0
32,61052,23763,753,9,3,1
22,42692,15583,641,10,1,1
35,74332,13679,726,16,2,0
24,87333,1000,735,10,1,1
27,92489,12011,740,4,4,1
38,64067,17972,698,15,2,1
40,71487,28962,649,7,3,1
28,56928,19543,645,2,3,1
44,70560,24009,632,7,4,1
46,66279,5327,498,1,3,1
49,61165,13985,700,17,4,1
40,62755,24765,667,19,3,1
48,69038,7898,707,5,0,1
18,54116,22721,641,18,0,1
31,55150,20866,696,14,3,1
26,94147,17197,553,19,0,0
36,114210,12370,568,3,0,0
29,35912,7109,476,1,3,1
33,34810,29203,640,18,1,1
53,40856,20054,595,5,1,1
33,57934,17724,586,11,0,1
39,77915,11697,673,18,1,1
32,71825,15302,620,6,4,1
35,63440,16317,549,1,2,0
35,70578,18199,828,15,4,1
39,46158,20874,647,9,3,1
46,55117,8740,574,0,1,1
51,59598,3267,603,6,0,1
38,28315,15674,637,10,4,1
40,36773,1022,637,17,4,1
23,37568,12410,741,4,0,1
34,75282,10926,644,10,1,1
44,64907,18933,779,3,3,1
43,72221,30860,619,5,4,1
37,23206,1000,679,5,4,1
43,30328,33193,721,10,1,1
39,73264,13135,733,13,4,0
47,20000,17782,741,2,3,1
37,84492,3681,630,1,2,1
31,23533,22974,649,14,1,1
38,76866,15331,476,5,4,1
18,42228,14508,636,12,4,1
38,80978,1000,726,1,4,1
18,124163,15590,712,12,2,1
18,20000,21766,643,18,1,1
39,73907,13109,768,8,4,1
39,23836,24393,623,11,1,1
23,68535,24063,599,5,3,1
27,55864,9871,617,5,2,0
48,62595,27760,571,1,2,1
30,41766,15362,693,9,1,1
57,75610,15397,670,18,1,0
34,31032,15791,692,2,3,1
39,84832,15554,620,8,1,0
51,51814,1000,645,16,3,1
36,31946,13515,497,9,4,1
24,91898,4088,676,15,0,0
33,58653,28010,656,7,4,1
34,98152,27688,572,12,0,1
21,84427,21815,642,19,0,1
32,44037,13092,631,11,4,1
27,58300,6935,773,15,1,0
44,62420,9739,575,13,3,1
35,90526,30541,673,1,0,1
32,68750,9462,573,3,0,1
33,63525,1000,610,12,1,0
37,56002,23241,669,6,2,1
41,58988,27004,635,9,1,1
25,86091,28273,649,9,1,1
24,60074,23306,673,15,4,1
46,52100,24612,615,19,0,1
30,48709,15423,711,19,0,1
20,48924,1000,628,1,0,1
39,31958,15223,643,14,4,1
39,44992,19972,675,14,2,1
19,89968,13917,665,17,4,1
37,55868,13553,695,8,4,1
42,74088,7287,672,10,1,1
38,20000,6986,682,9,3,1
41,71366,29705,627,7,2,1
20,56772,29994,575,4,2,1
38,50371,14978,550,12,2,1
31,63619,17252,533,0,3,1
30,50083,7153,773,14,1,1
43,20000,20140,495,16,0,1
49,78444,29077,733,4,3,1
52,64860,2766,592,4,4,1
48,53721,18711,733,10,2,1
33,40676,19312,495,16,0,1
38,30602,19220,633,2,0,1
42,64477,28142,751,8,2,1
36,92268,31288,699,4,4,1
36,64063,13132,626,17,3,1
43,32344,20385,513,17,1,1
34,64502,15673,557,1,3,1
27,58933,9943,747,2,0,0
30,77280,17166,625,3,2,0
41,72134,20371,644,16,4,1
35,20000,16735,669,18,3,1
38,70904,7950,558,7,0,0
41,39930,11291,678,3,1,1
31,31565,11352,620,13,0,1
42,56230,8260,670,17,2,0
38,68219,17508,609,18,1,1
22,27185,18344,539,8,4,1
49,74091,22836,620,15,1,1
29,75266,8139,694,19,0,0
18,60939,10380,677,16,2,0
24,42647,27436,652,9,3,1
24,40412,13684,712,5,3,1
35,80518,15241,635,7,4,1
32,29775,13599,653,7,1,1
31,81289,24064,616,19,2,1
41,56696,24374,716,14,2,1
38,58083,23905,670,17,0,1
38,25838,15212,611,15,0,1
39,57065,8020,545,9,3,0
41,72271,30401,727,15,1,1
18,33271,21850,597,12,3,1
31,69972,11346,655,14,4,1
18,61780,26390,814,6,1,0
35,47124,10715,706,4,3,1
34,77093,26285,762,3,1,1
45,20000,26826,612,5,3,1
46,66933,7628,724,19,0,0
37,92388,19654,651,18,1,0
29,88798,21257,675,2,2,1
39,67796,35919,791,11,2,1
29,53966,9061,630,18,0,1
34,47283,26460,651,15,4,1
44,53941,15138,586,12,0,1
29,70876,5069,712,11,4,1
43,43855,14040,610,6,1,1
41,75148,15019,721,18,3,1
25,102663,6528,534,1,3,1
44,58762,17497,688,17,2,1
41,33112,22662,604,17,2,1
36,33105,16905,701,5,0,1
27,75531,10665,649,10,4,0
26,58805,13812,612,17,0,1
29,77536,14963,622,9,3,1
40,49327,16738,590,6,0,1
25,76612,23878,708,1,3,1
39,56834,17175,576,8,1,1
22,45349,3778,631,5,2,1
32,51980,10501,674,17,0,1
36,36058,16328,762,17,1,1
59,99787,23992,649,6,2,1
21,58072,25382,633,4,3,1
49,72890,29197,669,5,2,1
36,49262,16044,504,8,1,1
39,38961,21106,566,13,2,1
36,55322,3364,623,3,1,1
39,82023,18439,600,19,2,1
33,49585,6397,537,14,2,0
49,42589,14499,710,2,1,1
30,63109,39238,668,6,1,1
46,69980,17428,659,14,2,1
28,92856,8089,601,10,2,1
34,67075,18262,655,10,4,1
24,72879,10863,686,0,2,0
39,74385,7314,631,8,2,0
49,36939,31825,681,12,2,1
34,40733,23534,594,14,4,1
33,38322,17764,656,8,1,1
23,33357,11865,729,11,1,1
32,75909,12513,736,4,1,0
19,65801,27339,742,15,3,1
25,61589,17452,669,13,3,1
37,20000,1000,652,14,2,0
48,101109,34367,618,13,1,1
63,42114,16464,523,19,3,1
29,101036,17746,555,17,1,1
49,31015,23693,638,16,4,1
37,43751,18723,642,6,3,1
33,20000,20975,748,1,2,1
39,67242,11610,742,0,1,1
35,37974,5161,601,15,3,1
36,38539,17241,707,17,3,1
30,32549,26452,616,12,4,1
21,75547,9817,697,14,3,0
19,74229,9175,706,1,3,0
41,96240,24768,736,11,0,0
32,46285,11342,615,12,0,1
29,64376,11715,721,3,3,1
35,34213,12014,518,15,0,1
42,53299,14480,740,6,4,1
36,49623,2410,648,3,4,0
28,69288,10685,649,13,2,1
47,80340,16842,507,8,3,1
50,79821,16785,622,10,2,1
39,43143,24263,744,10,4,1
44,79969,29715,620,12,0,1
47,59118,27099,699,8,1,1
46,53508,22317,652,16,3,1
41,45829,13810,724,17,3,1
40,48801,10015,663,9,1,1
40,94846,15143,584,3,4,1
24,66148,19684,653,5,2,1
42,63492,21575,762,15,4,1
21,54755,19984,684,5,1,0
27,108919,14030,641,15,3,0
48,86100,21294,807,13,1,1
43,45578,25086,731,8,0,1
49,54527,22041,707,2,3,0
32,55715,14743,672,10,3,1
23,62917,8329,701,13,1,1
32,45975,8139,703,3,3,1
36,68776,9550,497,16,4,1
35,89041,17056,677,3,1,1
46,33727,19158,638,8,2,1
31,37437,3683,615,10,1,1
38,50336,10968,636,14,2,1
25,51264,16946,541,4,4,1
39,99969,7802,523,6,3,1
35,80034,18471,737,16,0,1
27,78886,12540,682,6,3,1
32,54712,9212,481,12,2,1
33,54273,15425,609,7,0,1
32,30965,18138,711,1,3,0
52,75634,8211,630,10,1,0
34,69821,13059,737,7,4,1
32,85719,18741,723,5,4,1
18,55783,8903,555,17,3,0
26,57164,1737,639,15,3,0
32,63400,2707,618,5,1,0
28,77837,11655,552,10,0,1
48,30595,4452,548,14,0,1
33,74721,12218,593,1,2,1
47,59590,28319,605,1,1,1
35,38827,3971,669,10,4,1
35,20000,12739,723,18,1,1
34,57270,32058,685,18,1,1
35,88954,18265,702,8,4,1
52,93493,12058,631,14,4,0
18,67107,13744,692,9,1,0
18,99240,18434,639,18,0,1
29,59141,28566,619,11,0,1
35,79066,10753,782,17,2,0
41,50975,8939,486,7,4,0
39,49708,3969,518,18,1,1
31,46449,15824,676,14,0,1
45,20000,3754,631,15,1,1
45,85741,11289,549,0,0,0
36,47167,7730,576,16,2,1
44,43971,23592,585,3,2,1
37,36400,10932,712,18,3,1
29,55912,18175,734,3,0,1
41,95269,2167,764,16,2,0
36,101875,16052,538,12,0,0
35,26782,5374,554,7,2,1
49,52911,11594,549,17,4,1
18,39312,32689,740,7,3,1
20,79766,22457,679,1,4,1
23,65731,13972,655,1,0,0
31,47268,40591,666,17,3,1
32,61451,7678,646,7,4,1
19,50451,24321,571,16,3,1
25,92284,2738,685,0,3,1
26,70939,13048,636,1,0,0
59,73396,4217,565,19,3,0
53,20000,17058,690,2,4,1
30,58664,15447,620,13,1,1
31,101664,12538,665,7,2,1
23,86522,23736,641,10,2,1
18,23058,10463,712,2,0,1
33,53731,17614,665,5,0,1
25,35969,21564,588,15,1,1
34,94222,3134,672,10,0,0
18,64885,9012,674,10,2,0
27,44644,15430,685,18,0,1
36,60683,20041,722,8,0,1
38,20000,26369,606,16,3,1
39,38300,13272,696,14,1,1
21,60728,12468,529,9,1,0
43,76913,8019,641,5,1,0
26,21173,17639,630,7,2,1
41,52376,12623,751,17,2,1
34,80193,12807,639,6,0,1
21,30970,14248,692,13,0,1
31,64583,19413,526,2,2,1
38,61319,10490,625,6,2,0
41,94287,8822,590,18,3,0
33,55397,18453,823,10,0,1
50,56567,1000,603,16,0,0
45,77099,10170,655,5,2,1
32,33473,5789,658,15,4,1
42,55582,24626,538,19,1,1
54,50885,11472,613,18,0,1
54,57221,10514,678,8,2,0
22,76968,14611,656,13,2,1
25,71083,10237,488,17,3,1
49,45026,11778,610,16,0,1
24,62733,15776,721,19,3,1
21,89808,11623,691,0,1,0
30,43372,11566,735,10,0,1
39,62903,6918,581,15,4,1
33,56136,5769,739,14,2,0
28,58739,15485,646,3,1,1
28,27386,17452,761,11,4,1
27,88215,3574,650,3,3,1
26,44512,21079,506,1,1,1
57,80521,21112,709,2,4,1
37,47572,22797,618,19,2,1
43,47489,17399,623,5,1,1
30,84262,20096,548,9,2,1
33,79877,32480,763,5,0,1
27,64173,12587,613,17,4,0
18,75223,6634,760,17,1,0
21,54228,2727,619,13,2,1
18,59832,29045,585,16,0,0
18,46767,29150,742,2,4,1
23,78081,7603,644,19,1,1
48,46131,9181,645,8,3,1
34,89703,12408,560,8,1,1
47,53683,24794,617,3,2,1
39,60410,4701,680,17,2,1
42,75174,1000,559,3,1,1
25,60477,32340,612,17,2,1
40,54041,17498,620,14,2,1
42,59399,18635,654,15,1,0
29,77876,13359,753,0,0,0
40,46742,18726,629,14,0,0
40,57475,2886,601,19,2,1
29,60205,8272,842,7,1,1
23,77291,15841,619,8,1,1
23,58003,1000,636,2,3,1
35,96165,12579,624,9,3,1
38,56869,12086,630,13,4,1
27,55246,12578,655,5,3,1
35,56579,10591,714,14,2,0
40,33667,7032,678,1,4,1
41,39265,1000,725,13,4,1
50,49386,16157,723,11,1,1
47,82716,12599,664,4,0,1
24,59337,3997,676,6,4,1
51,50307,15500,727,4,4,1
29,84530,12640,572,12,4,1
45,91023,11311,824,12,2,1
35,85107,1000,614,11,4,0
30,42938,20462,625,3,3,0
18,50095,5135,565,4,3,1
33,96274,15506,567,16,3,1
19,64822,8533,718,9,1,0
44,54647,11890,808,8,3,1
50,74366,24218,610,6,4,1
27,80145,19252,674,18,4,1
38,48571,24040,665,4,2,1
27,64388,17643,720,15,0,1
28,78531,18169,805,15,3,0
42,36794,1000,756,4,1,1
34,60246,12459,633,0,1,1
52,37712,13200,687,4,0,1
30,40328,24789,693,5,0,1
44,48737,10950,648,14,2,1
35,69542,17118,573,10,1,1
42,53559,16806,594,8,1,1
30,47031,24261,730,9,2,1
34,61031,13930,737,19,2,1
33,37060,21622,635,18,2,1
26,68576,1361,668,0,2,0
41,82627,2087,733,16,4,1
41,58415,1000,530,7,1,1
40,55947,21287,618,15,0,0
50,67468,20389,791,19,4,1
49,20000,22174,670,10,0,1
31,70736,9581,570,12,3,1
38,122037,10491,658,8,1,1
28,57546,14031,721,1,4,1
35,57617,26549,471,0,0,1
29,74872,28550,662,7,0,1
51,92906,21350,623,16,2,0
38,79499,17648,535,6,2,1
32,20000,25683,655,8,3,1
46,71267,12953,640,10,3,1
18,111438,11872,648,6,4,1
18,72448,13967,625,9,3,1
42,36907,7170,578,12,1,1
35,65636,13599,548,17,0,1
37,34386,6060,601,15,1,1
21,84656,23200,710,16,4,1
34,40882,19349,666,10,3,1
55,61484,26436,645,13,3,1
43,42844,1965,577,2,1,1
36,49071,30213,623,2,2,1
30,89723,2420,701,18,3,1
31,62069,5413,685,12,4,1
18,48815,10033,616,2,2,1
37,37095,25461,467,8,0,1
43,22565,16804,602,19,4,1
19,34974,13049,616,0,4,1
28,62239,8658,586,8,0,1
23,79604,3992,621,16,1,0
25,48792,24061,707,18,4,1
35,91410,21389,647,7,4,1
18,45649,25819,719,18,4,1
41,55239,18174,544,14,4,1
42,38408,1000,628,8,0,0
32,79815,5043,514,15,0,1
18,101950,18718,620,16,2,1
25,24763,12042,576,5,3,1
47,53076,10529,739,1,2,0
18,85295,6174,678,15,1,1
31,31061,22580,721,1,1,1
23,71333,18649,619,15,3,1
43,84429,19009,578,7,4,1
28,61564,9931,576,14,4,1
39,71005,16410,668,12,0,1
40,95218,4297,776,0,0,0
53,98968,13961,678,0,1,1
32,58760,1000,623,12,3,1
38,49352,2455,636,10,0,0
20,41600,12421,647,0,3,1
46,79539,34000,791,19,2,1
27,32564,1000,736,4,3,1
29,54948,5051,668,17,4,1
34,62053,16734,657,2,2,1
19,49939,29155,670,4,3,1
37,65596,16617,684,10,2,1
44,111290,20617,621,10,3,1
37,57568,12299,590,12,1,1
19,51291,10915,722,3,0,1
33,80306,15657,651,5,0,1
42,64791,9733,716,5,3,1
18,88786,20794,765,8,3,1
24,63293,2149,686,18,2,0
43,55031,22119,675,9,3,1
37,24325,15314,850,19,2,1
39,27605,13282,664,5,1,1
53,23286,1856,573,4,2,0
39,67586,7161,630,2,1,1
41,32755,24589,758,4,4,1
62,85111,13331,559,6,3,1
32,60604,17227,597,7,3,1
27,55116,7963,727,14,3,1
39,43122,14767,630,8,3,1
39,72445,4022,642,13,3,1
29,43910,15799,725,1,2,1
24,40292,17965,599,18,4,1
58,83766,17564,547,2,0,0
38,67092,7771,552,0,3,1
27,55301,12263,690,8,2,1
44,72828,19297,668,13,0,1
33,60178,13308,601,4,3,1
32,67660,12701,568,3,0,1
40,43663,30227,631,16,3,1
22,101407,7392,728,16,2,0
38,48407,23643,591,15,3,1
54,91120,5762,603,4,3,1
39,56222,20238,566,10,1,0
31,76141,20665,624,13,3,1
29,74684,10917,673,8,1,1
30,82937,5260,798,3,3,0
32,43187,1000,665,16,0,1
31,81512,10079,646,18,0,1
44,96928,19209,710,3,3,0
18,54826,6378,698,14,0,1
43,60694,15775,609,17,4,1
31,49531,3188,811,10,0,0
38,53071,13128,648,0,2,1
23,94228,5823,666,13,4,0
48,39915,14376,688,18,3,1
47,41157,10991,674,5,3,0
44,92218,5477,756,2,3,1
19,72490,9729,608,5,3,1
43,102407,7526,704,16,0,0
39,50991,4488,661,11,1,1
18,62525,23661,718,0,0,1
34,46786,12118,634,11,1,1
38,62866,1000,625,16,1,0
40,24518,10013,701,3,3,1
36,73699,22317,675,11,4,1
37,66469,8909,592,4,2,1
49,58848,26981,744,0,0,1
47,52192,8146,701,8,3,1
18,42104,19027,644,15,2,1
31,74554,23293,617,13,3,1
33,36578,18601,675,2,1,1
18,70237,4004,696,3,2,0
35,101489,7460,538,10,3,1
47,89710,24360,676,6,3,1
24,29897,8563,695,6,1,1
38,49265,22805,485,8,2,1
25,68429,11557,663,15,4,1
28,58594,16131,698,11,0,1
49,32011,3911,690,17,1,0
29,67706,10133,706,2,2,1
39,59799,7997,627,9,4,0
18,98286,16804,577,11,4,1
53,54935,15745,524,15,2,1
41,83360,18701,726,10,2,1
33,34658,11075,699,18,2,1
40,39439,7558,731,16,2,1
20,74433,16461,599,13,3,1
46,81674,6763,706,7,2,1
31,40852,23627,544,6,2,1
32,60481,14083,589,10,4,1
30,32368,12390,658,9,0,1
29,56375,18697,696,0,4,1
41,76738,14389,767,4,3,1
37,51300,1735,633,16,2,0
41,55019,6508,589,9,2,0
34,37404,23461,585,18,2,1
40,47032,15671,601,4,2,1
30,95162,1547,805,19,1,0
57,61458,17816,702,16,3,1
19,39953,10525,727,7,1,1
47,53704,8004,633,12,3,1
48,28051,5841,649,19,2,1
26,39716,22999,698,12,1,1
57,87206,1000,614,18,4,0
44,57150,8299,629,2,1,0
44,97814,15961,602,3,3,1
35,58093,27626,618,0,1,0
32,59280,19430,653,6,1,1
32,72817,8231,592,15,2,1
38,20000,27234,670,19,4,1
49,64098,4159,669,10,1,1
36,59020,17122,637,8,0,1
25,89720,18902,592,18,0,1
43,79293,7951,657,11,2,0
44,37326,20580,614,10,3,0
41,84842,10888,653,1,3,1
42,54753,20561,726,4,1,1
32,41910,1000,562,13,4,1
25,63942,17679,802,13,0,0
26,55944,11703,644,9,2,1
18,90769,24197,678,14,4,1
37,66812,14648,597,13,4,1
34,64113,24993,729,1,3,1
30,78012,19060,641,16,1,0
18,81857,13979,622,13,3,0
22,75672,21301,609,4,1,1
46,88389,21352,631,4,1,1
28,72173,18775,679,19,2,1
38,63353,1000,662,5,3,1
21,84783,7139,647,0,1,1
49,58182,26072,600,0,4,1
33,60664,4952,596,4,4,1
37,94431,22059,617,12,1,1
58,92438,20651,682,9,1,1
50,59836,9193,696,14,0,0
31,50928,1000,705,4,2,1
29,89263,10448,649,4,0,1
31,76008,31624,676,8,4,1
40,66311,8093,638,15,4,1
33,53562,8645,528,10,4,1
31,66633,7019,634,15,1,0
49,59565,24718,623,1,3,1
33,46713,13056,577,8,2,1
57,62580,9992,610,8,1,1
35,65308,26307,659,1,2,1
52,52492,19635,570,6,0,0
38,78076,7645,600,5,4,1
44,85776,5211,758,9,0,1
27,79397,24265,537,3,1,1
26,54475,15134,637,5,1,1
39,75116,2607,568,19,2,1
44,61559,1000,597,2,3,0
35,35285,6071,636,16,4,1
22,73454,5084,580,10,1,0
21,62922,1000,690,1,1,0
20,111870,6203,744,8,0,0
18,89145,7647,708,10,2,1
36,74223,11298,721,5,4,1
46,64983,28543,553,5,0,1
34,63274,12865,632,14,4,1
18,39926,13659,682,0,1,1
33,25220,19074,710,18,4,1
33,42548,13101,772,6,0,1
55,59045,18201,724,7,4,1
20,20000,17244,712,2,1,1
31,49113,15980,834,17,1,0
52,55047,37131,656,4,1,1
39,55691,22289,629,16,0,0
40,46765,6346,662,6,3,1
36,53169,17961,585,0,0,1
38,94477,8666,654,8,2,0
42,73242,18570,529,10,4,1
26,48793,3998,612,9,2,1
43,58633,6137,641,19,4,1
21,59433,17751,716,10,3,1
38,44640,22981,727,15,3,1
36,44617,19021,582,7,4,1
28,80210,21832,795,2,0,1
34,51604,17990,660,9,1,1
28,38106,16379,666,11,1,1
24,59137,10970,536,8,0,1
31,62360,21504,606,15,0,1
23,20545,23199,723,19,0,1
38,59185,14495,661,1,4,1
23,77359,14064,657,1,4,1
42,69024,27731,665,5,2,1
23,104595,14836,548,11,4,1
29,85022,15605,643,0,1,1
28,88978,18873,748,3,2,0
48,116001,14217,726,8,4,1
38,75163,8437,641,7,0,0
32,63261,18023,759,16,0,1
39,79474,14689,561,10,2,1
18,48815,29737,581,17,1,1
34,62153,21307,780,15,3,0
54,47045,10236,690,8,3,1
36,67959,20832,629,19,1,1
35,46961,17462,646,16,0,1
40,46261,25475,593,9,0,1
43,68269,10804,669,17,2,1
18,57245,16509,663,5,1,1
18,21449,14207,651,4,0,1
37,30888,15467,568,15,3,1
27,37054,7918,668,15,4,1
48,42340,19607,612,4,4,1
31,68288,18343,580,15,0,1
18,64378,25281,738,10,0,1
22,81305,14919,801,11,2,1
18,75056,11705,785,16,4,1
32,81438,21314,695,3,2,1
33,72167,8646,631,8,2,1
30,64193,23679,645,5,4,1
45,81987,23662,678,11,3,1
46,78388,25058,620,3,4,1
33,67521,18012,742,2,4,1
18,85421,11108,507,13,4,1
41,20000,15873,629,1,2,1
40,54190,18040,706,8,1,0
38,53884,10518,590,19,0,0
44,83053,25664,633,19,3,1
23,91427,19640,691,3,1,0
55,30996,7862,756,18,0,0
25,88223,30062,559,6,4,1
42,36571,15779,554,3,2,1
18,37175,6247,583,10,2,1
25,55314,8357,542,9,3,1
50,53635,26902,547,7,1,1
32,28831,29599,581,8,4,1
43,72997,23075,736,1,2,0
37,73588,25554,628,5,2,1
33,81080,24732,652,3,1,1
48,51330,19455,583,18,3,1
32,59208,17632,694,9,1,1
18,59391,19318,781,10,3,1
26,93759,20888,587,8,4,1
40,20000,9067,770,17,0,0
38,40861,20855,675,15,2,1
19,60110,26668,651,13,3,1
27,38288,13349,678,6,1,1
29,54833,12494,677,6,0,1
31,57478,18812,779,18,2,1
21,46846,9802,686,18,2,1
28,61289,4465,687,5,4,1
27,72562,24181,620,6,4,0
42,55274,11392,708,6,0,1
43,50936,15147,583,15,1,1
33,56684,10118,657,18,0,0
31,59851,25214,850,17,4,1
36,25193,21825,474,16,1,1
26,69231,13074,666,6,4,1
23,50979,5560,669,6,0,1
25,85230,12224,634,17,2,1
28,71821,19561,635,7,0,1
23,83401,16509,656,4,2,0
36,39779,15872,632,16,0,1
42,52572,16693,665,9,0,1
19,35150,21070,615,1,0,1
35,45896,14665,791,17,3,1
32,85042,18600,632,5,3,0
38,89749,7104,689,6,2,0
34,37037,35430,603,10,0,1
20,50834,12729,715,5,1,1
22,58476,16628,701,16,1,1
35,71712,19531,679,13,4,1
45,24803,11713,578,11,3,1
18,27939,15062,597,4,0,1
38,69792,14965,768,9,0,0
46,21019,7687,596,5,1,1
33,51064,18508,694,19,1,1
40,63241,1806,583,15,2,0
27,68313,29021,720,2,4,1
33,57165,21343,601,10,0,0
18,52684,20112,582,15,2,1
18,76891,1106,600,10,2,0
44,65704,8659,611,2,3,1
25,47059,26114,678,2,2,1
30,60754,48209,654,14,2,1
21,67663,24557,573,10,1,1
20,94364,23295,648,10,4,1
33,75726,19199,569,5,1,1
27,84291,8220,695,5,0,1
38,47787,22961,707,8,0,1
39,49516,6190,648,10,0,1
38,55292,5315,669,9,1,1
37,57128,4811,772,17,4,1
50,39839,22805,638,3,0,1
24,85318,14540,583,9,0,1
34,77667,15806,690,4,2,0
46,53886,14876,570,0,2,1
47,72834,5994,635,8,2,1
20,64457,9634,608,1,0,0
31,74396,10036,600,7,1,1
48,33113,3757,632,12,1,1
40,57086,10966,712,7,3,0
36,58839,6349,727,13,3,1
32,72472,19621,714,5,4,1
31,47431,20287,673,8,2,1
37,20000,4650,631,17,2,1
32,38366,12626,484,4,2,1
34,58779,29848,675,10,1,1
35,61277,7153,490,14,0,1
28,93674,18413,515,7,2,1
40,71654,15844,638,6,1,1
64,61630,23743,668,13,1,1
18,59352,17363,618,1,3,1
38,82083,11549,757,5,0,1
27,48197,15534,682,8,0,1
40,57194,15650,632,4,1,1
35,38214,14266,747,10,2,1
42,88378,4447,759,12,4,1
46,67849,24944,685,19,2,1
36,45849,23531,595,12,1,1
46,57710,6646,611,11,1,0
18,70193,12594,548,14,1,1
50,54985,13199,647,4,1,1
38,49310,5747,576,9,3,1
45,46914,1000,626,16,3,1
22,66779,9635,668,3,3,1
26,52838,12148,511,5,1,1
36,50924,3470,561,4,1,1
34,33278,16415,614,19,0,1
37,61552,24302,646,7,3,1
45,56375,21736,615,6,4,1
18,53567,13986,631,16,0,0
44,63975,1000,600,18,0,1
35,74960,20725,548,0,1,1
32,74031,16171,612,17,3,1
20,71054,18394,635,14,1,1
40,55186,30488,628,17,0,1
18,48660,8401,657,1,1,1
41,39121,1000,679,0,1,0
20,48136,6572,697,6,1,1
35,60393,18888,605,16,2,1
33,44274,15215,539,9,1,1
46,61921,5274,739,14,0,1
33,40690,3642,676,4,0,0
28,26780,12163,583,6,3,1
29,76388,5031,669,17,3,0
47,50511,19165,724,9,1,1
40,43259,11708,771,15,4,0
31,38123,9983,667,12,2,1
32,68460,8933,724,3,3,0
19,87498,17104,565,18,3,1
38,51938,15340,647,18,1,0
18,55688,16615,626,15,2,1
42,81432,16441,673,9,2,1
36,23791,14422,762,8,2,1
58,99337,6734,667,5,3,1
23,108882,9156,584,12,1,0
33,20000,11842,561,6,0,1
52,58049,31521,765,3,0,1
46,45621,4209,685,1,2,1
28,54704,11648,681,8,4,1
37,51632,15786,625,16,1,1
35,76235,12573,668,15,2,1
37,57748,23591,580,16,0,1
28,41781,12532,677,12,3,1
34,56556,13123,567,17,0,1
19,70295,21517,624,15,2,1
36,36325,29485,604,16,4,1
39,27075,26259,421,10,1,1
32,99854,13906,625,1,4,1
18,47151,14603,587,7,0,1
44,57252,15373,635,16,0,1
38,52044,16175,650,14,0,1
27,70961,8221,773,0,1,0
32,95455,22492,671,1,2,1
19,71598,16652,673,13,4,1
24,29632,14641,684,19,1,1
29,32317,4830,711,14,1,1
47,52020,15498,681,18,0,1
28,54635,1000,669,1,3,1
41,25560,10346,699,17,2,1
29,76386,10495,480,2,0,1
37,38273,17295,796,17,2,1
33,89866,30038,761,19,1,1
43,96412,19575,665,10,2,1
29,55034,26587,551,10,1,1
19,68779,20161,734,9,3,0
21,35361,24000,601,11,0,1
29,72473,29857,687,16,2,1
22,50036,9145,560,5,3,1
39,38255,8623,805,5,0,1
30,54213,20350,549,19,4,1
58,50685,14970,654,16,3,1
18,53496,16762,501,10,1,1
37,78993,13010,647,4,2,1
23,44293,10229,620,19,3,1
30,94700,27966,729,17,2,1
36,33498,6201,620,6,3,1
18,92308,20491,729,10,4,0
37,39669,19193,578,8,1,1
54,59979,2367,630,16,0,1
30,50196,8353,631,13,2,0
37,53125,9698,684,9,2,1
45,76027,19516,675,19,3,1
33,89996,12063,700,12,1,0
29,83810,14315,668,9,4,1
18,51902,3338,696,18,0,1
41,63685,33607,587,8,2,1
33,44358,15569,677,8,2,1
24,40168,18992,762,7,3,1
36,37073,10674,532,4,1,1
29,51248,9778,684,5,4,1
29,64992,30301,697,1,0,1
41,21763,1000,752,14,4,1
21,59072,17229,700,11,2,1
45,90320,5307,657,18,2,1
21,82438,11759,680,12,1,0
28,48296,9895,598,1,1,0
54,32062,7112,622,12,2,1
46,69196,15283,556,3,1,1
35,20000,1000,754,0,0,0
25,82203,12476,681,13,2,0
29,55728,14277,585,0,2,1
35,96626,4125,668,8,3,0
35,25460,27105,731,17,2,1
34,78362,10244,719,5,2,1
34,57989,13100,585,13,2,1
32,53378,10262,430,7,2,1
20,32603,14347,677,2,3,1
29,71914,25465,587,3,3,1
44,73522,34784,693,1,4,1
21,95702,20965,716,3,2,1
33,80161,23703,727,3,0,1
26,48122,28731,772,17,2,1
36,39922,16990,736,16,1,1
31,32630,27562,772,7,0,0
49,89464,21339,746,14,4,1
40,44436,16151,752,4,3,1
21,89604,17802,647,12,3,1
